age,educ,paeduc,sex,race,yearsjob,realrinc,PASEI10
66,20,13,"male","white",.i,"IAP",31.6
67,16,16,"male","white",8,72640,62
"NA",16,16,"female","other",25,"IAP",65.1
28,20,16,"female","white",.25,"IAP",43.5
23,16,16,"female","white",.25,14755,76.3
37,20,16,"male","white",1,37455,91.6
27,12,12,"male","black",.25,30645,46.6
32,14,"iap","female","black",.i,908,"IAP, DK, NA, uncodeable"
40,12,"iap","female","black",2,1589,"IAP, DK, NA, uncodeable"
22,16,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
38,14,"iap","male","black",.25,8512.5,50.4
45,15,12,"female","black",2,14755,59.1
63,12,16,"male","white",.i,"IAP",52
30,20,"iap","female","white",3,24970,"IAP, DK, NA, uncodeable"
25,12,"iap","male","white",.25,"IAP","IAP, DK, NA, uncodeable"
44,12,"dk","female","other",10,20430,43
56,12,12,"male","white",17,10782.5,24
45,12,11,"female","white",.75,3405,20
27,7,"dk","female","other",.75,5107.5,32
53,17,7,"male","other",17,20430,31
66,15,"iap","female","black",21,12485,"IAP, DK, NA, uncodeable"
48,18,"iap","female","black",5,24970,"IAP, DK, NA, uncodeable"
50,14,14,"female","black",15,17025,38.1
18,11,12,"female","other",.25,"IAP",32
51,16,16,"male","black",30,10782.5,36.4
63,13,15,"female","black",18,24970,20.7
57,12,"iap","female","black",10,2043,"IAP, DK, NA, uncodeable"
68,16,16,"male","black",.i,"IAP",31.6
64,14,12,"male","white",.25,"IAP",26.8
26,12,"iap","male","other",.25,12485,"IAP, DK, NA, uncodeable"
58,16,12,"female","white",.i,72640,50.1
53,19,7,"female","black",5,63560,26.8
28,12,5,"male","other",.75,2497,34.1
30,11,"iap","female","white",.i,"IAP",28.7
53,14,14,"male","white",.i,"IAP",67.7
56,13,6,"male","white",24,24970,80.7
20,12,14,"male","white",.i,227,28.4
64,16,12,"female","white",.i,151050.7214,57.8
40,12,16,"male","other",.i,1589,20.3
64,9,4,"female","other",.i,"IAP",39.9
39,14,"iap","female","white",4,8512.5,"IAP, DK, NA, uncodeable"
42,9,6,"female","white",.i,"IAP",14
22,11,6,"male","other",2,2043,25.2
51,5,3,"male","other",12,"IAP",14
40,9,6,"female","other",1,"IAP",43
40,10,0,"male","other",.75,24970,36.4
24,15,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
27,9,"dk","female","white",.i,"IAP",31.2
34,7,"iap","female","other",.i,"IAP","IAP, DK, NA, uncodeable"
24,14,8,"female","other",.i,"IAP",22.9
34,12,"dk","female","other",.i,"IAP",23
44,16,12,"female","other",.i,"IAP",50.4
80,12,13,"female","white",.i,"IAP",73.9
61,16,13,"female","white",.i,"IAP",70.1
39,12,16,"female","black",2,7377.5,52
41,20,"iap","female","white",3,37455,"IAP, DK, NA, uncodeable"
34,14,"iap","male","other",3,30645,"IAP, DK, NA, uncodeable"
70,19,12,"female","white",.i,"IAP",55.3
49,15,"dk","female","white",9,45400,"IAP, DK, NA, uncodeable"
59,19,16,"female","other",.i,"IAP",50.4
31,20,14,"female","black",.25,17025,69.3
77,16,16,"male","white",.i,"IAP",57.4
40,17,"iap","female","white",15,"IAP","IAP, DK, NA, uncodeable"
53,16,"iap","female","black",16,"IAP","IAP, DK, NA, uncodeable"
29,12,"dk","female","black",.i,8512.5,25.2
39,15,12,"female","black",5,17025,21.5
27,15,14,"female","black",5,17025,52.5
62,18,5,"male","black",20,37455,39.9
48,12,"iap","female","black",30,5107.5,"IAP, DK, NA, uncodeable"
28,12,9,"female","other",1,12485,39.9
47,12,"iap","male","black",.i,6242.5,"IAP, DK, NA, uncodeable"
42,13,"iap","female","black",3,17025,40.1
38,12,12,"female","white",2,1589,52.5
53,16,18,"male","white",19,20430,75.5
40,14,12,"male","black",15,30645,52.4
57,15,16,"male","white",11,63560,39.1
51,11,16,"male","white",.75,4086,77.4
60,14,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
55,18,"dk","female","white",3,54480,39.9
40,14,11,"female","white",9,151050.7214,68.6
25,11,"iap","male","white",2,"IAP","IAP, DK, NA, uncodeable"
19,6,"dk","female","other",.i,5107.5,39.9
46,3,"dk","male","other",.i,9647.5,39.9
60,9,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
22,12,"iap","female","other",2,2043,"IAP, DK, NA, uncodeable"
29,19,14,"female","black",.25,24970,65.3
28,16,12,"male","black",2,14755,25
36,12,"iap","female","black",1,6242.5,"IAP, DK, NA, uncodeable"
29,16,20,"female","white",.i,14755,88.7
40,12,6,"male","black",1,20430,21.2
47,14,16,"male","white",4,30645,59.8
"NA",13,12,"female","black",.n,37455,34.7
51,14,12,"male","black",10,14755,32
63,13,16,"male","white",.i,"IAP",76.3
33,13,"iap","male","black",.25,"IAP","IAP, DK, NA, uncodeable"
47,12,"iap","female","black",.n,17025,"IAP, DK, NA, uncodeable"
26,15,3,"female","other",3,10782.5,20.7
68,16,"dk","male","black",26,17025,31.2
36,16,18,"female","black",.25,"IAP",50.4
34,14,12,"male","white",9,20430,46.5
30,17,12,"female","black",.75,3405,25
71,13,"dk","female","white",.i,"IAP",39.1
28,12,16,"female","white",.25,"IAP",77.4
65,16,9,"male","black",17,6242.5,26.8
49,12,"iap","male","white",30,151050.7214,"IAP, DK, NA, uncodeable"
32,12,10,"male","white",2,"IAP",61.2
21,15,14,"female","white",.i,2043,38.8
38,14,15,"female","white",4,6242.5,83.8
22,14,14,"male","white",4,10782.5,62
50,14,6,"male","black",7,17025,20.7
86,13,15,"male","black",.i,"IAP",50.4
59,12,9,"female","other",.25,9647.5,39.9
28,15,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
54,15,12,"male","black",7,30645,13.6
71,15,12,"female","black",10,17025,20.7
58,16,12,"female","black",20,20430,59.1
88,3,0,"female","white",.i,"IAP",39.9
34,12,12,"male","white",10,37455,29.5
52,12,12,"female","white",.i,7377.5,62
71,12,12,"female","white",.i,"IAP",14
21,11,"iap","female","other",2,5107.5,"IAP, DK, NA, uncodeable"
23,12,"iap","male","black",.25,"IAP","IAP, DK, NA, uncodeable"
82,12,3,"male","black",.i,"IAP",39.9
34,12,"iap","male","black",9,20430,"IAP, DK, NA, uncodeable"
32,14,"iap","female","black",2,8512.5,"IAP, DK, NA, uncodeable"
43,15,"dk","female","black",.25,20430,39.9
75,12,"dk","female","black",.i,"IAP",20.7
46,12,"iap","male","white",2,14755,"IAP, DK, NA, uncodeable"
33,12,12,"male","other",.75,12485,31.1
79,4,0,"female","other",.i,"IAP",14
50,12,6,"female","white",4,"IAP",28.7
40,16,6,"female","white",7,"IAP",23.8
"89 OR OLDER",4,"dk","female","black",.i,"IAP",40.1
65,13,"dk","male","other",18,24970,70.1
69,13,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
73,12,8,"male","black",.i,"IAP",31.2
53,9,"iap","female","white",.25,5107.5,"IAP, DK, NA, uncodeable"
46,14,12,"female","white",.i,"IAP",23
56,12,12,"female","white",14,37455,39.6
71,12,5,"male","white",40,72640,68.6
33,12,"iap","male","white",5,37455,"IAP, DK, NA, uncodeable"
68,15,"dk","female","white",.i,"IAP",73.9
"89 OR OLDER",12,12,"female","white",.i,"IAP",67.7
19,9,6,"male","white",1,"IAP",14
26,16,"iap","male","black",.i,2043,"IAP, DK, NA, uncodeable"
28,18,18,"female","white",.75,17025,86.5
70,12,6,"male","white",.i,"IAP",73.9
38,11,"dk","female","black",10,9647.5,70.3
39,18,15,"male","white",12,63560,92.8
19,13,16,"male","other",.i,"IAP",89.1
45,18,18,"male","white",18,54480,82.5
47,18,12,"female","white",4,63560,52
46,18,19,"male","white",19,37455,91.1
19,11,16,"female","white",.n,908,25.2
48,16,16,"female","black",5,72640,80.9
38,15,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
24,16,14,"male","black",.i,"IAP",39.1
54,12,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
50,15,14,"male","black",.75,9647.5,18.8
48,13,14,"male","black",.75,24970,80.7
25,14,"iap","male","black",.75,2497,"IAP, DK, NA, uncodeable"
59,12,12,"male","black",8,24970,28.4
25,12,12,"male","black",3,"IAP",35.3
28,14,"iap","female","black",2,14755,"IAP, DK, NA, uncodeable"
40,13,7,"female","black",10,5107.5,32
73,18,12,"female","white",.i,"IAP",75.6
50,10,12,"male","white",26,37455,31.1
20,16,18,"female","white",2,3405,81.9
43,14,16,"male","white",18,30645,31.2
68,16,16,"female","white",.i,"IAP",55.3
18,12,16,"male","white",4,908,71.8
54,14,"dk","female","black",.25,"IAP",32
71,17,17,"female","white",17,10782.5,50
28,12,"iap","female","white",2,12485,"IAP, DK, NA, uncodeable"
46,16,13,"male","black",15,24970,32
47,10,12,"male","white",10,9647.5,25
65,12,12,"female","white",12,20430,46
18,12,12,"male","white",.25,"IAP",22.9
57,14,"iap","female","black",16,20430,"IAP, DK, NA, uncodeable"
65,16,12,"female","white",16,2497,35.2
25,12,"iap","female","black",2,7377.5,"IAP, DK, NA, uncodeable"
30,12,"iap","male","black",4,24970,"IAP, DK, NA, uncodeable"
37,13,12,"female","black",5,"IAP",26.8
68,12,8,"female","white",.i,"IAP",23.3
47,15,12,"male","white",3,54480,45.4
61,10,12,"male","white",.i,"IAP",31.2
23,12,12,"male","other",3,10782.5,20.7
27,18,20,"male","white",2,14755,92
19,11,16,"male","white",.25,"IAP",57.4
54,20,12,"male","white",6,37455,23.3
34,16,"iap","female","white",.i,2497,"IAP, DK, NA, uncodeable"
"89 OR OLDER",18,8,"female","white",.i,"IAP",34.7
34,14,5,"male","other",.i,20430,57.5
64,16,14,"male","white",.i,"IAP",48.4
36,16,12,"female","white",7,45400,85.2
42,16,12,"female","white",.i,24970,46
44,16,12,"female","other",13,1589,77.4
44,15,14,"male","white",20,151050.7214,46
43,18,"iap","male","white",.75,63560,"IAP, DK, NA, uncodeable"
77,17,14,"female","white",.i,"IAP",35.5
43,9,"dk","male","white",.25,"IAP",36.4
36,12,"iap","male","white",3,12485,"IAP, DK, NA, uncodeable"
30,16,12,"male","white",1,5107.5,43
58,19,9,"male","white",.75,24970,20.5
"89 OR OLDER",16,12,"female","white",.i,"IAP",25.2
62,12,12,"male","white",.i,"IAP",38.1
76,14,"iap","female","white",.25,"IAP","IAP, DK, NA, uncodeable"
51,14,14,"female","white",10,20430,34.7
27,14,18,"female","white",.75,7377.5,89.1
73,14,11,"male","white",.i,"IAP",26.8
28,8,12,"male","white",.25,37455,32
34,16,12,"male","white",4,20430,28.7
40,12,10,"female","white",.i,"IAP",27.2
35,16,12,"female","white",4,20430,25.2
70,14,12,"male","white",.25,"IAP",57.8
82,13,8,"female","white",.i,"IAP",39.9
52,17,8,"female","white",2,7377.5,20.7
56,12,12,"male","white",5,30645,65.3
46,15,"dk","female","white",28,17025,54.3
33,12,12,"female","white",9,5107.5,45.1
23,8,8,"female","other",4,6242.5,35.3
48,12,10,"male","white",4,37455,34.4
55,14,16,"male","white",8,30645,83.8
56,12,14,"female","white",.i,"IAP",84.5
74,16,8,"female","white",.i,"IAP",20.7
28,12,"dk","female","white",5,17025,31.2
24,.a,"dk","female","black",2,9647.5,31.2
62,20,13,"male","black",.i,"IAP",34.8
74,15,12,"female","black",.25,"IAP",59.1
24,12,12,"female","other",1,9647.5,20.7
29,15,"iap","female","black",5,5107.5,"IAP, DK, NA, uncodeable"
59,14,3,"female","white",4,17025,14
73,15,6,"male","white",.i,"IAP",14
65,3,"iap","male","other",34,10782.5,"IAP, DK, NA, uncodeable"
19,12,14,"female","white",.75,10782.5,33.7
22,12,"iap","female","other",.75,2497,"IAP, DK, NA, uncodeable"
40,16,12,"male","white",10,5107.5,84
48,7,"iap","male","other",.75,9647.5,"IAP, DK, NA, uncodeable"
61,12,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
49,16,16,"female","white",11,63560,57.8
39,12,6,"male","other",.25,24970,18.6
45,16,12,"female","other",5,12485,"IAP, DK, NA, uncodeable"
60,13,12,"male","white",.i,"IAP",85.2
32,16,18,"male","white",3,20430,86.5
39,18,16,"male","white",2,17025,82.5
52,16,"iap","female","black",.25,"IAP","IAP, DK, NA, uncodeable"
44,15,"iap","female","other",2,8512.5,"IAP, DK, NA, uncodeable"
59,12,"iap","female","black",3,3405,"IAP, DK, NA, uncodeable"
46,12,"dk","female","white",3,9647.5,50.3
63,12,12,"male","white",.i,"IAP",36.4
26,12,"dk","male","black",.i,"IAP",24
31,12,"iap","male","other",.i,"IAP","IAP, DK, NA, uncodeable"
19,12,"iap","male","black",.i,2951,"IAP, DK, NA, uncodeable"
40,18,9,"female","white",.75,5107.5,25.2
64,16,12,"male","black",.i,"IAP",59.8
25,15,16,"male","white",.i,3405,76.3
56,12,12,"male","white",.i,"IAP",28.7
41,14,"dk","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
54,16,"iap","female","black",.n,30645,"IAP, DK, NA, uncodeable"
40,12,"iap","male","white",15,"IAP","IAP, DK, NA, uncodeable"
64,16,4,"male","white",25,63560,44.9
56,16,12,"female","white",1,37455,34.1
71,12,12,"female","white",.i,"IAP",39.9
50,16,12,"male","white",2,63560,64.9
69,13,13,"male","white",.i,"IAP",58.1
49,12,"iap","male","white",.25,1589,"IAP, DK, NA, uncodeable"
61,12,15,"male","white",40,151050.7214,39.9
38,19,12,"female","white",.i,24970,46
74,16,8,"male","white",35,151050.7214,14
40,12,12,"female","white",.i,"IAP",28.7
34,12,"dk","male","other",.i,"IAP",18.6
41,14,12,"male","other",10,24970,43
78,10,9,"male","white",.n,30645,32.6
47,9,2,"female","other",2,2497,14
50,14,12,"female","white",1,6242.5,51.8
41,12,"iap","female","white",13,9647.5,"IAP, DK, NA, uncodeable"
63,15,12,"female","white",.i,"IAP",39.1
56,14,12,"male","white",17,30645,42.8
18,12,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
25,12,12,"male","other",3,14755,39.1
55,14,14,"female","white",2,20430,26.9
58,14,16,"male","white",2,5107.5,39.1
39,14,14,"female","white",4,17025,20.8
42,16,2,"female","other",.i,"IAP",31.3
25,12,"dk","male","other",.i,20430,31.2
76,6,3,"female","white",.i,"IAP",31.6
53,17,9,"female","other",20,37455,15.8
57,14,"dk","male","white",18,30645,54.6
53,14,10,"female","white",11,24970,52.4
63,16,12,"male","white",.i,"IAP",32
62,16,6,"female","white",.i,"IAP",35.3
56,17,12,"female","black",34,45400,72.6
70,12,12,"male","black",.i,"IAP",65.3
35,16,16,"male","black",.75,30645,57.8
64,16,12,"female","white",19,227,62.7
32,13,2,"male","white",.25,"IAP",59.1
27,16,16,"female","white",.i,8512.5,67.7
67,12,"iap","male","black",30,20430,"IAP, DK, NA, uncodeable"
27,12,14,"female","white",.i,908,52.4
31,15,18,"male","white",.25,908,81
79,13,8,"female","white",.i,"IAP",39.9
41,20,12,"female","white",20,30645,65.1
29,15,"iap","female","white",.i,6242.5,"IAP, DK, NA, uncodeable"
42,8,"iap","female","black",.25,"IAP","IAP, DK, NA, uncodeable"
"89 OR OLDER",12,12,"female","white",.i,"IAP",24
52,16,"iap","female","white",9,6242.5,"IAP, DK, NA, uncodeable"
78,16,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
77,12,7,"male","white",.i,7377.5,28.4
42,16,16,"female","white",4,63560,67.7
45,16,16,"male","white",16,30645,83.8
64,16,20,"female","white",28,"IAP",75.5
83,12,3,"female","white",.i,"IAP",58.4
49,17,18,"female","white",10,30645,80.7
31,17,12,"female","white",.i,20430,22.9
42,16,16,"female","white",2,9647.5,80.7
25,14,12,"female","white",.75,"IAP",39.7
47,16,16,"male","white",11,14755,56.9
48,16,16,"female","white",10,30645,57.8
53,12,11,"female","white",8,9647.5,46
57,18,"iap","male","white",11,20430,"IAP, DK, NA, uncodeable"
84,12,8,"female","white",.i,"IAP",46
83,14,6,"female","white",.i,"IAP",53.6
68,16,"iap","female","white",.75,10782.5,"IAP, DK, NA, uncodeable"
64,12,10,"male","white",.i,"IAP",26.8
63,16,13,"female","white",4,14755,67.7
70,12,12,"female","white",.i,"IAP",43.1
21,15,"iap","male","black",.25,"IAP","IAP, DK, NA, uncodeable"
29,12,10,"male","black",6,8512.5,36.4
56,13,"iap","male","black",4,30645,"IAP, DK, NA, uncodeable"
27,16,16,"male","black",.i,12485,70.1
53,12,10,"female","white",.i,"IAP",20.7
68,12,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
44,12,"iap","male","white",22,45400,"IAP, DK, NA, uncodeable"
68,11,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
39,12,12,"male","white",12,24970,53.6
57,12,16,"male","white",4,14755,54.6
25,12,12,"male","black",20,14755,40
42,13,12,"female","black",.i,1589,28.7
25,13,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
19,12,"iap","female","black",.25,908,"IAP, DK, NA, uncodeable"
66,12,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
74,14,5,"male","black",.n,"IAP",31.9
69,20,12,"female","other",.i,"IAP",66.1
26,12,"iap","female","black",.i,227,"IAP, DK, NA, uncodeable"
69,14,12,"male","black",.i,10782.5,58.2
27,15,12,"female","white",3,14755,28.5
53,14,"iap","male","white",2,24970,"IAP, DK, NA, uncodeable"
35,10,12,"male","white",4,24970,84.5
32,14,12,"female","white",7,12485,46.2
19,11,18,"female","white",.25,"IAP",45.3
56,14,"iap","male","white",20,17025,"IAP, DK, NA, uncodeable"
69,14,8,"male","white",.i,"IAP",25.2
66,12,11,"female","white",.i,"IAP",41
69,20,2,"female","white",.i,"IAP",30.8
43,12,8,"male","white",5,14755,36.4
43,12,"iap","female","white",1,12485,"IAP, DK, NA, uncodeable"
44,16,"iap","female","white",18,"IAP","IAP, DK, NA, uncodeable"
58,16,12,"male","white",20,63560,46.5
38,12,12,"male","white",18,"IAP",46
49,17,16,"female","white",4,"IAP",52
51,12,12,"male","white",1,37455,38.1
59,20,8,"female","white",.75,14755,76.3
68,14,8,"male","white",.i,"IAP",45.4
73,18,6,"male","white",.i,"IAP",46.5
67,18,12,"male","white",.i,"IAP",34.6
70,19,12,"male","white",.i,"IAP",12.4
61,16,14,"female","white",2,14755,57.4
50,14,14,"female","white",3,20430,62
67,16,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
39,17,"iap","male","white",6,54480,"IAP, DK, NA, uncodeable"
48,18,12,"female","white",2,37455,77.4
19,13,20,"female","white",2,908,39.7
58,12,"dk","male","white",.i,"IAP",39.9
54,14,"dk","female","black",1,30645,25.2
20,11,"dk","male","white",.i,"IAP",22.9
"89 OR OLDER",15,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
44,11,"dk","female","white",.i,"IAP",25.2
59,12,"iap","male","black",24,24970,"IAP, DK, NA, uncodeable"
47,17,6,"female","other",.i,"IAP",26.2
46,18,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
55,15,14,"male","other",20,10782.5,34.7
65,12,"iap","male","black",28,"IAP","IAP, DK, NA, uncodeable"
23,14,"dk","female","white",2,"IAP",50.4
28,9,"dk","female","white",.i,"IAP",18.8
76,17,7,"female","white",10,"IAP",39.9
45,14,12,"male","white",16,24970,28.7
40,9,6,"female","white",.25,"IAP",25.2
77,12,12,"female","white",.i,"IAP",32
74,18,12,"male","white",.i,"IAP",46.5
79,6,"dk","female","white",.i,"IAP",27.7
70,9,6,"male","white",.i,"IAP",39.9
61,12,8,"male","white",.i,227,38.8
49,6,"dk","male","other",25,20430,14
38,14,13,"male","white",.25,14755,31.2
25,16,16,"female","white",3,14755,62.4
36,16,"iap","male","black",8,30645,"IAP, DK, NA, uncodeable"
75,16,19,"female","white",.i,"IAP",68.6
22,13,16,"male","white",1,37455,73.9
45,14,16,"male","white",.25,"IAP",86.5
26,14,3,"female","other",8,3405,21.4
40,14,12,"male","black",12,24970,46.6
26,12,11,"female","black",.75,45400,21.6
60,11,"iap","female","other",15,12485,"IAP, DK, NA, uncodeable"
32,16,19,"male","white",2,30645,45.4
54,13,12,"female","white",5,24970,84.5
27,12,"iap","male","white",.75,20430,"IAP, DK, NA, uncodeable"
27,14,"iap","female","black",.75,10782.5,"IAP, DK, NA, uncodeable"
34,12,12,"male","white",3,20430,45.1
37,16,17,"female","white",.i,"IAP",69.3
41,16,3,"male","white",15,54480,13.6
32,13,16,"female","white",9,151050.7214,43
43,18,14,"male","white",.i,"IAP",58.4
42,18,14,"male","white",13,37455,38.3
57,17,11,"male","white",14,24970,32
43,16,13,"female","white",10,20430,48.8
41,18,16,"male","white",.i,"IAP",14
77,13,2,"male","other",.i,"IAP",39.9
46,16,16,"male","white",16,54480,62
50,20,14,"female","white",2,45400,74.6
25,17,16,"male","white",2,2497,69.3
37,16,11,"female","white",14,45400,57.8
60,13,12,"female","white",.25,227,62
57,13,12,"male","white",17,6242.5,69.3
38,12,12,"female","other",.i,"IAP",92.8
25,14,13,"male","white",1,6242.5,59.1
34,16,"iap","male","white",.i,3405,"IAP, DK, NA, uncodeable"
65,13,12,"male","white",.i,"IAP",61.4
34,12,"iap","female","white",1,20430,"IAP, DK, NA, uncodeable"
34,15,12,"female","white",3,7377.5,37
40,14,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
26,15,"iap","female","white",.25,"IAP","IAP, DK, NA, uncodeable"
23,13,16,"female","white",3,6242.5,65.3
24,12,12,"female","white",3,17025,55.3
28,16,18,"female","white",.25,"IAP",25.7
56,15,14,"female","white",.i,"IAP",65.1
84,16,8,"male","white",.i,"IAP",59.1
42,16,"iap","female","white",1,5107.5,"IAP, DK, NA, uncodeable"
44,20,9,"male","other",2,"IAP",13.6
51,20,16,"male","other",11,45400,71.8
61,16,9,"male","black",10,20430,28.3
37,16,12,"female","white",12,37455,59.1
39,16,14,"male","white",15,20430,77.4
65,18,14,"male","other",20,151050.7214,14
39,14,12,"female","white",9,8512.5,42.2
26,13,"iap","female","black",3,12485,"IAP, DK, NA, uncodeable"
55,16,10,"female","white",17,37455,31.2
51,16,12,"female","white",2,37455,28.7
50,16,14,"female","white",11,45400,76.3
61,14,12,"male","white",1,20430,52.5
19,13,18,"female","white",.n,1589,81.6
42,14,12,"female","black",4,20430,63.2
30,13,16,"male","other",8,14755,75.5
60,18,8,"female","white",.i,"IAP",20.7
46,13,"iap","female","black",.75,20430,"IAP, DK, NA, uncodeable"
35,12,12,"female","white",1,10782.5,20.9
75,12,"dk","female","black",.i,"IAP",48.4
35,10,12,"female","white",.i,"IAP","IAP, DK, NA, uncodeable"
34,16,12,"male","white",5,151050.7214,79.4
58,14,8,"male","white",2,45400,51.9
55,12,8,"male","white",30,63560,32
86,16,"dk","male","white",.i,"IAP",67.7
54,12,8,"male","white",10,20430,25.2
44,16,12,"female","white",11,24970,65.3
55,12,12,"male","white",38,45400,39.7
58,14,14,"female","white",.i,"IAP",62
54,15,"iap","male","white",18,24970,"IAP, DK, NA, uncodeable"
31,16,"iap","female","white",.25,17025,"IAP, DK, NA, uncodeable"
51,15,12,"male","white",.75,908,27.6
39,10,12,"male","white",6,20430,32
86,12,0,"female","white",.i,"IAP",26.1
54,16,11,"male","white",13,37455,32
26,12,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
37,18,"iap","female","white",12,37455,"IAP, DK, NA, uncodeable"
45,16,14,"male","white",5,151050.7214,39.7
70,14,8,"female","black",.i,"IAP",44.5
43,20,20,"male","other",15,30645,85.5
23,14,16,"male","white",2,9647.5,73.4
42,17,11,"female","other",2,12485,59.1
86,14,3,"female","white",.i,"IAP","IAP, DK, NA, uncodeable"
72,12,6,"female","white",.i,"IAP",65.1
55,18,"iap","female","white",.i,227,"IAP, DK, NA, uncodeable"
69,11,0,"male","black",.i,"IAP",36.2
"89 OR OLDER",6,"dk","female","black",.i,"IAP",39.9
68,10,2,"male","black",.i,"IAP",40
45,12,12,"female","white",20,12485,67.7
18,12,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
22,13,18,"male","white",1,5107.5,84.5
66,12,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
66,13,12,"male","white",.i,"IAP",46
21,9,"iap","male","white",1,6242.5,"IAP, DK, NA, uncodeable"
65,12,8,"male","white",3,14755,32.7
29,13,13,"male","white",.25,"IAP",31.2
50,13,8,"female","white",15,1589,32
65,12,8,"male","white",13,5107.5,61.5
53,11,"iap","male","white",25,227,"IAP, DK, NA, uncodeable"
32,14,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
47,12,13,"female","white",3,14755,46
58,12,2,"male","other",2,9647.5,28.4
44,15,"dk","female","white",6,30645,39.1
50,11,12,"male","white",.i,"IAP",32
51,15,"iap","male","white",2,30645,"IAP, DK, NA, uncodeable"
53,13,8,"female","other",3,24970,86.1
44,14,12,"female","black",1,5107.5,67.7
40,13,12,"male","white",.i,"IAP","IAP, DK, NA, uncodeable"
56,11,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
52,16,"iap","female","black",.i,227,"IAP, DK, NA, uncodeable"
65,13,12,"female","black",3,227,20.7
37,14,16,"female","white",1,12485,50.4
50,16,18,"male","white",20,24970,75.5
27,15,16,"female","white",.n,8512.5,39.1
49,16,12,"female","white",1,24970,33.9
41,8,13,"male","white",.25,"IAP",20.7
72,14,8,"male","white",.i,"IAP",31.2
42,12,7,"male","white",1,14755,31.2
24,13,"iap","male","white",1,14755,"IAP, DK, NA, uncodeable"
31,9,7,"male","other",1,12485,28.7
33,13,12,"female","white",5,12485,27.5
69,9,5,"female","white",2,6242.5,48.8
46,16,"iap","female","white",.25,30645,"IAP, DK, NA, uncodeable"
71,9,"dk","female","white",.i,"IAP",46.6
22,16,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
53,14,12,"male","white",20,24970,85.2
30,16,17,"male","white",.75,30645,72.7
61,16,17,"male","white",2,45400,82.5
39,18,5,"male","other",12,45400,14
27,16,16,"male","white",1,"IAP",78.3
71,16,18,"male","white",.i,"IAP",62.1
60,12,14,"female","white",7,37455,59.1
47,17,18,"male","white",21,24970,52
33,14,16,"male","white",4,20430,80.9
29,17,20,"male","white",.75,14755,84.5
60,13,14,"female","black",5,20430,32.6
27,13,12,"female","black",.i,12485,46.6
30,9,"dk","male","white",.i,2497,22.9
24,13,8,"female","white",.25,908,"IAP, DK, NA, uncodeable"
57,12,"dk","male","white","DONT KNOW","IAP",39.7
19,12,"iap","male","white",.75,"IAP","IAP, DK, NA, uncodeable"
55,11,"dk","male","white",1,20430,20.9
75,12,"dk","female","black",2,24970,39.9
50,13,"dk","male","black",27,37455,42.8
70,17,6,"male","white",14,9647.5,42.8
65,18,18,"male","white",.i,"IAP",83.1
28,16,16,"female","white",.25,"IAP",39.7
57,12,12,"female","white",5,17025,61.4
48,18,12,"male","white",.i,4086,48.3
18,12,12,"female","white","DONT KNOW","IAP",39.7
27,15,20,"male","white",.75,5107.5,92.8
41,12,12,"male","white",.25,227,39.9
69,18,16,"female","white",.i,"IAP",57.4
32,15,"iap","female","black",4,10782.5,"IAP, DK, NA, uncodeable"
21,12,15,"female","black",.i,"IAP",50
30,12,15,"female","black",3,12485,68.6
66,12,10,"female","white",.i,"IAP",25.2
59,15,12,"female","other",.25,2951,28.4
22,12,"iap","female","other",.75,2951,"IAP, DK, NA, uncodeable"
31,16,"iap","male","white",1,14755,"IAP, DK, NA, uncodeable"
50,16,"iap","female","white",.i,10782.5,"IAP, DK, NA, uncodeable"
21,15,16,"male","white",3,2043,80.7
29,16,"iap","male","white",2,20430,"IAP, DK, NA, uncodeable"
21,15,12,"female","white",.75,2043,36.2
21,15,18,"female","other",.i,1589,64.5
25,17,18,"male","white",.25,"IAP",83.1
22,16,16,"male","white",.i,30645,52.4
